variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
residual sugar,6497,0.6,65.8,65.2,14,5,"[0.6, 5.6)",3.0999999999999996,4064,0.6255194705248577,4064,0.6255194705248577
residual sugar,6497,0.6,65.8,65.2,14,5,"[5.6, 10.6)",8.1,1327,0.20424811451439126,5391,0.829767585039249
residual sugar,6497,0.6,65.8,65.2,14,5,"[10.6, 15.6)",13.1,843,0.12975219331999385,6234,0.9595197783592428
residual sugar,6497,0.6,65.8,65.2,14,5,"[15.6, 20.6)",18.1,250,0.038479298137601974,6484,0.9979990764968448
residual sugar,6497,0.6,65.8,65.2,14,5,"[20.6, 25.6)",23.1,8,0.001231337540403263,6492,0.9992304140372481
residual sugar,6497,0.6,65.8,65.2,14,5,"[25.6, 30.6)",28.1,2,0.00030783438510081576,6494,0.999538248422349
residual sugar,6497,0.6,65.8,65.2,14,5,"[30.6, 35.6)",33.1,2,0.00030783438510081576,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[35.6, 40.6)",38.1,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[40.6, 45.6)",43.1,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[45.6, 50.6)",48.1,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[50.6, 55.6)",53.1,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[55.6, 60.6)",58.1,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[60.6, 65.6)",63.099999999999994,0,0.0,6496,0.9998460828074498
residual sugar,6497,0.6,65.8,65.2,14,5,"[65.6, 70.6)",68.1,1,0.00015391719255040788,6497,1.0000000000000002
