Palavra,72_sorteios,216_sorteios,720_sorteios,2160_sorteios,7200_sorteios,72000_sorteios,Esperado_Percentual
qace,1,2,8,40,107,991,1.3889
qaco,0,2,11,37,103,1002,1.3889
qafe,2,1,11,20,124,997,1.3889
qafo,1,6,10,32,96,999,1.3889
qape,1,4,12,26,101,938,1.3889
qapo,1,1,7,33,111,1002,1.3889
qice,2,1,13,26,86,1036,1.3889
qico,3,3,8,22,98,978,1.3889
qife,0,2,10,29,93,966,1.3889
qifo,0,6,11,29,105,968,1.3889
qipe,2,3,15,31,103,998,1.3889
qipo,0,1,11,38,108,1004,1.3889
quce,1,6,8,41,90,1007,1.3889
quco,0,2,8,33,86,1048,1.3889
qufe,3,3,11,31,98,975,1.3889
qufo,0,2,14,34,122,1003,1.3889
qupe,0,5,14,25,84,958,1.3889
qupo,4,7,9,40,97,1020,1.3889
wace,1,7,11,29,104,1040,1.3889
waco,1,1,12,32,118,1041,1.3889
wafe,1,6,6,32,93,1049,1.3889
wafo,1,3,14,24,103,980,1.3889
wape,1,3,13,43,106,981,1.3889
wapo,0,3,11,35,103,1015,1.3889
wice,1,4,7,25,103,949,1.3889
wico,1,2,9,35,83,1034,1.3889
wife,2,4,10,22,103,956,1.3889
wifo,1,2,4,30,104,1041,1.3889
wipe,1,2,14,37,111,998,1.3889
wipo,2,1,10,30,94,1006,1.3889
wuce,1,1,13,20,88,959,1.3889
wuco,1,2,9,22,111,1036,1.3889
wufe,3,3,7,24,102,1015,1.3889
wufo,3,1,13,26,97,1016,1.3889
wupe,1,5,6,21,83,964,1.3889
wupo,1,4,13,42,95,1017,1.3889
xace,3,2,10,29,109,968,1.3889
xaco,0,7,8,31,103,962,1.3889
xafe,0,2,10,22,80,973,1.3889
xafo,2,5,10,32,93,1003,1.3889
xape,2,3,5,35,84,979,1.3889
xapo,4,4,11,27,107,974,1.3889
xice,0,3,14,35,112,1047,1.3889
xico,1,2,16,33,98,984,1.3889
xife,1,6,10,27,99,986,1.3889
xifo,0,2,6,28,85,1067,1.3889
xipe,0,2,10,37,90,995,1.3889
xipo,2,1,10,38,86,1005,1.3889
xuce,0,1,15,35,111,1010,1.3889
xuco,0,4,8,25,95,984,1.3889
xufe,0,2,6,31,104,1019,1.3889
xufo,1,1,9,36,103,1033,1.3889
xupe,0,2,9,32,84,991,1.3889
xupo,1,3,9,25,105,1009,1.3889
zace,1,3,15,19,111,995,1.3889
zaco,0,0,7,30,104,964,1.3889
zafe,1,2,8,23,114,1017,1.3889
zafo,1,4,11,27,93,979,1.3889
zape,0,2,7,33,99,1024,1.3889
zapo,2,4,7,32,99,1006,1.3889
zice,0,2,10,25,99,979,1.3889
zico,0,4,6,22,97,1023,1.3889
zife,0,3,12,31,107,1014,1.3889
zifo,1,3,4,27,102,1026,1.3889
zipe,1,2,10,36,109,958,1.3889
zipo,0,1,10,35,108,984,1.3889
zuce,1,3,14,29,104,1027,1.3889
zuco,1,5,12,30,96,1002,1.3889
zufe,1,5,13,21,104,1011,1.3889
zufo,0,2,9,31,107,997,1.3889
zupe,0,5,8,26,93,1010,1.3889
zupo,1,3,8,29,93,1008,1.3889
